Notospermus_geniculatus_NGE|g16970.t1	cf9cbe2ba27c4153614dd9eb3fb381f7	277	PANTHER	PTHR11514		1	267	1.4E-18	T	31-10-2018
Notospermus_geniculatus_NGE|g16970.t1	cf9cbe2ba27c4153614dd9eb3fb381f7	277	PANTHER	PTHR11514:SF100		1	267	1.4E-18	T	31-10-2018
Lamellibrachia_luymsi_proteins_LLU|FUN_026248-T1	2032c102da0165ca4140ca721f683b80	212	PANTHER	PTHR11514		42	187	5.8E-61	T	31-10-2018
Lamellibrachia_luymsi_proteins_LLU|FUN_026248-T1	2032c102da0165ca4140ca721f683b80	212	PANTHER	PTHR11514:SF52		42	187	5.8E-61	T	31-10-2018
Notospermus_geniculatus_NGE|g25054.t1	4feb7da4738b2846453f42ab908fc7c3	1503	MobiDBLite	mobidb-lite	consensus disorder prediction	449	475	-	T	31-10-2018
Notospermus_geniculatus_NGE|g25054.t1	4feb7da4738b2846453f42ab908fc7c3	1503	SUPERFAMILY	SSF56349		1364	1486	8.54E-10	T	31-10-2018	IPR011010	DNA breaking-rejoining enzyme, catalytic core	GO:0003677	
Notospermus_geniculatus_NGE|g25054.t1	4feb7da4738b2846453f42ab908fc7c3	1503	Pfam	PF00589	Phage integrase family	1392	1486	3.1E-5	T	31-10-2018	IPR002104	Integrase, catalytic domain	GO:0003677|GO:0006310|GO:0015074	
Notospermus_geniculatus_NGE|g25054.t1	4feb7da4738b2846453f42ab908fc7c3	1503	PANTHER	PTHR31660:SF76		1353	1501	2.7E-43	T	31-10-2018
Notospermus_geniculatus_NGE|g25054.t1	4feb7da4738b2846453f42ab908fc7c3	1503	PANTHER	PTHR31660		1353	1501	2.7E-43	T	31-10-2018
Notospermus_geniculatus_NGE|g25054.t1	4feb7da4738b2846453f42ab908fc7c3	1503	Gene3D	G3DSA:1.10.443.10		1366	1487	3.7E-8	T	31-10-2018	IPR013762	Integrase-like, catalytic domain superfamily	GO:0003677|GO:0006310|GO:0015074	
Exaiptasia_pallida_EPA|XP_020908936.1	302d7ee7ba9e889532a4572f619eeeb2	289	PANTHER	PTHR11514		1	207	6.5E-61	T	31-10-2018
Exaiptasia_pallida_EPA|XP_020908936.1	302d7ee7ba9e889532a4572f619eeeb2	289	PANTHER	PTHR11514:SF52		1	207	6.5E-61	T	31-10-2018
