qpid,cluster_GSZ,cluster_RM1sum,cluster_size,cluster_desccount,RM2,val_avg,jac_avg,desc,genename
FUN_000024-T1,2013.76147938,63.8009420615,92,2129,1.46742395655,0.135691190339,0.000151695704082,40S ribosomal protein S12,RPS12
FUN_000099-T1,3802.28549096,3.27835182094,6,39,2.11629972506,0.010160947643,1.13210109874e-05,RAD23 homolog A, nucleotide excision repair protein b,
FUN_000221-T1,694.872411241,62.4083736668,98,19062,0.98563778439,0.222052104942,6.02137273804e-05,Aspartate aminotransferase,GOT2
FUN_000264-T1,2836.78944291,27.4184183151,45,525,1.76047913851,0.0674560476449,0.000582804572384,Phosphomethylethanolamine N-methyltransferase,
FUN_000320-T1,310.469493263,6.54285051736,13,12660,0.722222128941,0.0151587919151,8.59605479824e-06,Aquaporin Z,
FUN_000349-T1,4039.65399749,36.8993074394,62,356,2.23682397129,0.0584022987758,0.00045769701527,membrane-associated progesterone receptor component 1,PGRMC2
FUN_000426-T1,478.338114201,16.5935001771,31,12722,0.7936812823,0.023292543672,4.94236678277e-05,Organellar oligopeptidase,
FUN_000453-T1,481.590009016,53.1420467309,81,32788,0.843865965856,0.115527822781,1.08087900115e-05,Glutamate dehydrogenase,GLUD1
FUN_000463-T1,462.282195599,46.5828343643,68,29841,0.830622369896,0.105110075556,5.75806119006e-05,Ribosomal protein S9 (Predicted),RPS9
FUN_000499-T1,4.21674086676e-12,0.558466450577,1,193,0.590613004354,0.00115657052569,1.09875868655e-06,Boundary element associated factor,
FUN_000635-T1,184.792471545,51.0562567465,85,233114,0.769130466891,0.198513847734,5.6948665782e-05,Dicarbonyl and L-xylulose reductase,DCXR
FUN_000647-T1,1549.03792322,36.2622826719,59,2310,1.24508314928,0.0669205725992,3.82584147933e-06,Actin-interacting protein 1,
FUN_000745-T1,2386.57450723,29.158804209,50,825,1.58985503729,0.0853195543208,0.000293530365282,Alpha spectrin (Fragment),ALPHA-SPEC
FUN_001048-T1,1051.18571096,1.66276285958,3,255,1.01176661186,0.00243827448783,2.09979656288e-06,PhoPQ-activated pathogenicity,
FUN_001076-T1,3375.65417509,40.4662350344,58,478,1.9683409545,0.0528514315416,0.00340128735051,Alpha-actinin, sarcomeric,
FUN_001219-T1,561.950174485,65.2346976631,99,29413,0.897883252375,0.156796772489,4.46580986855e-05,Nucleoside diphosphate kinase,
FUN_001283-T1,2344.2593459,37.5858603656,51,871,1.5663175955,0.0728437722842,0.000332891359692,Small subunit ribosomal protein S23e,RPS23
FUN_001477-T1,4576.81502231,37.0775811521,62,278,2.44796584481,0.0513924667636,9.14249492437e-05,Calpain-5,CAPN5
FUN_001480-T1,458.288201427,29.2377020464,50,22354,0.795385404882,0.041641468287,7.30597173499e-06,Acyl-protein thioesterase,
FUN_001482-T1,1732.77494907,44.4813531309,73,2284,1.29687157356,0.0259641813481,2.88907782863e-05,Reactive intermediate imine deaminase A homolog,
FUN_001517-T1,851.615082125,46.3046629652,66,8540,0.983061065839,0.0988943199103,5.21718299948e-05,Small subunit ribosomal protein S5e,RPS5
FUN_001525-T1,4232.97629792,25.9462342953,48,251,2.29812654162,0.0281773000036,0.00010267245959,Intermediate filament protein A,IFA-1
FUN_001617-T1,1747.16021103,53.8800121189,79,2431,1.31864652065,0.0561838421422,0.000249995197607,Eukaryotic initiation factor 4A-II,
FUN_001672-T1,417.831904209,40.6187849496,70,37647,0.79982413302,0.0805461797902,9.48023814573e-05,Cytoplasmic carbonic anhydrase,CA2
FUN_001675-T1,372.477891994,29.5133403862,55,37009,0.772956268905,0.0640829788786,5.6665097273e-05,Red blood cell carbonic anhydrase II,
FUN_001693-T1,1021.81665257,1.72238017421,3,270,1.00099095806,0.00427162292115,1.68440250876e-05,Universal stress protein Slr1101,
FUN_001784-T1,3032.92653565,49.426396203,75,766,1.85054884844,0.0893749365314,0.000475890703158,Septin-2,SEPT11
FUN_002012-T1,1961.36482082,20.7032669654,32,781,1.40631253625,0.0599084595562,0.000756217915431,Epididymis secretory sperm binding protein,RPL13A
FUN_002152-T1,3466.61635335,47.2112031474,65,508,2.00839721844,0.0599047679767,5.75035972362e-05,RAB7, member RAS oncogene family,RAB7A
FUN_002177-T1,3419.48472059,57.3362222725,87,699,1.9869397827,0.0548877054628,0.00277052854902,LOW QUALITY PROTEIN: endoplasmin,HSP90B1
FUN_002184-T1,2096.61795814,66.7585773994,100,2137,1.49393180712,0.123152283125,0.000695690372744,Rab GDP dissociation inhibitor,
FUN_002235-T1,734.709927136,45.8670163147,62,10783,0.988382494828,0.197153624785,0.000355141896293,Calglandulin,
FUN_002237-T1,740.015353888,46.4128619053,63,10800,0.988979909624,0.19427692239,0.000349960096439,Calglandulin,
FUN_002246-T1,2093.79722418,59.879801434,78,1671,1.4894157119,0.116781237955,0.000138305469224,LOW QUALITY PROTEIN: 40S ribosomal protein S13,RPS13
FUN_002247-T1,4085.09329439,26.6196033329,40,225,2.24570727862,0.0408442820242,0.00112456937401,V-Ha-ras Harvey rat sarcoma viral oncogene homolog a,HRAS
FUN_002289-T1,368.130556289,48.2517082,74,51253,0.758100328905,0.0393354203476,1.66802816771e-05,Thioredoxin-dependent peroxide reductase,
FUN_002319-T1,795.937652838,59.3479974935,100,14816,0.911223475919,0.00537432315028,1.17569854122e-06,Lysosomal alpha-mannosidase,MAN2B1
FUN_002321-T1,2447.41203156,66.2698630436,99,1552,1.64843374417,0.149889784973,0.00136727567943,Ribosomal protein rpsA (Fragment),RPSA
FUN_002352-T1,3077.79057929,46.0448892284,84,833,1.85798591979,0.069524861245,0.00107558050377,Far upstream element-binding protein 3,FUBP1
FUN_002354-T1,4118.04023512,52.3687256265,76,421,2.26659019642,0.0553768013638,0.00121988229088,HLA-B associated transcript 1,DDX39B
FUN_002390-T1,3322.26655498,51.4441030525,82,697,1.95874749049,0.0750898304953,0.00216291682544,Mitochondrial creatine kinase s-type,
FUN_002402-T1,728.732775461,59.0736061991,89,15744,0.918015741445,0.0689096340664,2.62602486326e-05,Electron transfer flavoprotein subunit alpha,ETFA
FUN_002426-T1,3277.88735063,41.1820110134,63,551,1.91813452846,0.0320244656655,0.000331070408363,lanosterol 14-alpha demethylase,CYP51A1
FUN_002427-T1,1862.65583314,62.5604170343,99,2678,1.50860619515,0.327341985498,0.0026304792062,Lanosterol synthase,LSS
FUN_002779-T1,1054.08594798,14.0735760837,25,2113,1.06195654805,0.094945109502,6.3041077415e-05,DE Adenylate cyclase associated,CAP2
FUN_002853-T1,3957.5853271,1.65452558459,3,18,2.17436150851,0.00250413851127,9.21281310543e-06,Neurexin iii alpha,
FUN_002855-T1,822.725600289,62.8754525457,98,13601,1.0012288809,0.154975902368,7.06265694082e-05,Proteasome subunit beta,PSMB2
FUN_002859-T1,2227.21901903,52.5117008543,78,1477,1.66952626979,0.355439569623,0.0127845138598,Calreticulin,
FUN_002877-T1,2136.80944251,67.5547370774,91,1872,1.52205604701,0.145851168773,0.00155752763186,Ribosomal protein S27, isoform 1,
FUN_002909-T1,1938.45433307,6.34011485157,9,225,1.36849492236,0.00587387283209,1.82674260707e-06,14-3-3 protein zeta (inferred by orthology to a D. melanogaster protein),
FUN_002974-T1,2990.33686309,29.9045911398,53,556,1.83229309026,0.0866827914714,0.0108232773478,Tropomodulin,TMOD
FUN_003000-T1,4498.43094025,52.7490997199,84,390,2.41360289643,0.045702426268,0.000411720389326,Hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha b,HADHA
FUN_003001-T1,2324.8686614,51.194214454,79,1373,1.54084777787,0.0394232091886,0.000300621841267,Hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta,HADHB
FUN_003098-T1,3766.2818031,65.4777664786,98,649,2.14585070091,0.0930863624878,0.000110377606451,26S proteasome non-ATPase regulatory subunit 2,PSMD2
FUN_003100-T1,4335.14295688,1.49755109375,2,4,2.32596607974,0.00360169122892,3.18018847949e-08,Histone 4,
FUN_003214-T1,955.744471154,32.8514149516,46,4727,1.00472074565,0.0611739713622,3.7618444776e-05,40S ribosomal protein S14 (inferred by orthology to a C. elegans protein),
FUN_003295-T1,1058.84931037,35.9478890019,50,4187,1.05167201927,0.0719462166102,4.00161353612e-05,Small subunit ribosomal protein S2e,
FUN_003482-T1,223.777079416,50.6969545558,86,161068,0.734958199944,0.104598604433,0.000505391393502,Dicarbonyl and L-xylulose reductase,DCXR
FUN_003489-T1,919.261755748,10.6106742454,18,1991,1.09964850982,0.267792423994,0.000691140350819,Transgelin,LOC106181245
FUN_003533-T1,2156.29888372,45.2413782705,77,1556,1.47959826691,0.0510878953635,0.000106444204022,Beta-keto acyl reductase,HSD17B12
FUN_003537-T1,816.413004827,69.8268162672,98,13808,0.977967809319,0.115852346903,4.31764676185e-05,Proteasome endopeptidase complex,PSMA5
FUN_003625-T1,3354.5901615,53.2905197762,89,743,1.99153275566,0.112427668923,0.00550132642387,lysosomal Pro-X carboxypeptidase,PRCP
FUN_003626-T1,2460.21119587,1.38314291499,2,31,1.5765950226,0.00473678104347,2.5148817253e-06,Ribosomal protein S3A,
FUN_003883-T1,496.536356743,54.3397215401,87,33138,0.912841508595,0.234382992773,0.000198986386433,LOW QUALITY PROTEIN: alanine--tRNA ligase, cytoplasmic,AARS
FUN_003890-T1,720.810971348,57.3422257408,97,17532,1.08712509188,0.393954805178,0.000232829931081,Carboxypeptidase,CTSA
FUN_004295-T1,3955.30691881,4.40358504307,8,48,2.17519674229,0.00579976667304,4.92136676384e-06,Adipocyte fatty acid binding protein (Fragment),
FUN_004297-T1,674.876508402,49.9456819233,86,17738,0.89065912831,0.0579364277697,0.000110911583755,lysosomal alpha-glucosidase,GAA
FUN_004406-T1,1191.95130762,12.939124636,24,1585,1.07356586384,0.0127788527501,0.000627441504033,Bifunctional arginine demethylase and lysyl-hydroxylase PSR,
FUN_004629-T1,132.873028363,7.85603140495,14,74385,0.661724883553,0.0350483219042,3.07990571087e-06,FKBP-type peptidyl-prolyl cis-trans isomerase,
FUN_004639-T1,3158.84345281,17.4358921589,29,273,1.86237727497,0.0166786952369,9.26851675129e-06,Coactosin like F-actin binding protein 1,
FUN_004685-T1,553.159549243,47.4650172613,67,20553,0.837266128989,0.0490591884879,4.69696835518e-05,GTP-binding protein YPT3,
FUN_004727-T1,964.342338555,55.6117742661,80,8078,0.99580547178,0.0378630600342,5.5726986546e-05,Endoplasmic reticulum chaperone BiP,HSPA5
FUN_004753-T1,2715.08755308,3.31142259617,5,63,1.76372883548,0.165458796278,3.26110735697e-05,Extracellular globin,
FUN_004784-T1,2177.53242395,66.4166683244,100,1981,1.49812824429,0.0700278158083,2.66165929937e-05,Eukaryotic translation initiation factor 3 subunit I,EIF3I
FUN_004811-T1,913.706275915,60.5692513735,98,11023,0.957783156359,0.00434081120137,8.02813242348e-07,Disulfide-isomerase A3,
FUN_004917-T1,673.130947231,4.73062870559,8,1659,0.865914885532,0.0125706800039,2.31188208113e-06,Coatomer protein complex subunit alpha,COPA
FUN_004921-T1,632.377256268,43.3592549935,66,15499,0.899929577945,0.107506090528,2.23729222213e-05,Aspartyl-tRNA synthetase,DARS
FUN_005061-T1,2358.962297,58.0964316972,94,1587,1.62801388916,0.178137749178,0.000798164680099,Spectrin beta chain, non-erythrocytic,
FUN_005173-T1,640.739711911,2.20758143645,4,907,0.847358712134,0.0020053325924,5.47614604887e-08,Short-chain dehydrogenase TIC 32, chloroplastic,
FUN_005263-T1,1026.9736256,27.8000973381,41,3648,1.00633468426,0.0104626872834,4.87786419994e-07,Flotillin,LOC106174607
FUN_005343-T1,2990.54631775,44.9052187727,81,851,1.81925349935,0.0623272703817,7.59474012161e-05,Synaptic vesicle membrane protein VAT-1,VAT1
FUN_005356-T1,4349.52025158,51.7078297377,86,427,2.38687957229,0.107681849694,4.5657925227e-06,Mitochondrial hydroxyacyl-coenzyme a dehydrogenase,HADH
FUN_005367-T1,4592.79666225,48.3683403803,86,383,2.44683886219,0.0372070469031,2.31215609717e-05,Calcium-regulated heat stable protein 1,
FUN_005404-T1,3022.85118059,49.6168407495,70,719,1.81412185491,0.0282345619948,0.000853240844653,Vesicle coat complex COPII GTPase subunit SAR1,
FUN_005547-T1,101.667420786,2.66330448172,5,45319,0.634283404373,0.00682346243958,4.82643125038e-08,Glutamine synthetase,
FUN_005550-T1,91.030994561,2.07497643874,4,45319,0.62920639267,0.00527168709132,3.43428353118e-08,Glutamine synthetase,
FUN_005877-T1,1069.91474206,1.70747289254,3,245,1.03042213094,0.023499885586,6.47379768212e-05,Paramyosin,
FUN_006029-T1,584.804744853,59.9724480547,97,26637,0.953749929536,0.244948014338,0.000279199804441,Methylenetetrahydrofolate reductase,MTHFR
FUN_006141-T1,3723.76053185,47.9489661725,79,535,2.10901841686,0.0556837493788,9.08474029882e-05,Isochorismatase domain-containing protein 2,ISOC2
FUN_006143-T1,334.644418371,36.3722833584,66,55348,0.74560208776,0.0410268410895,4.73169176046e-06,Mitochondrial DNA specific single-stranded DNA binding protein (Mt-SSB),SSBP1
FUN_006335-T1,1806.87496305,51.0007530687,78,2243,1.37156678996,0.110970045205,0.000134039280162,60S ribosomal protein L13 (inferred by orthology to a C. elegans protein),RPL13
FUN_006405-T1,3160.02969009,39.8444044957,57,536,1.89164529754,0.070971096673,0.000937013492472,Large subunit ribosomal protein L26e,
