SME|mk4.020773.01	0868bf8d6d65bb2451d76524368d1c79	119	Pfam	PF00595	PDZ domain (Also known as DHR or GLGF)	22	93	2.9E-8	T	23-05-2018	IPR001478	PDZ domain
SME|mk4.024409.00	ce7f7e23db1bafa99ce8c51c2d3361fe	113	Pfam	PF01428	AN1-like Zinc finger	56	91	4.1E-10	T	23-05-2018	IPR000058	Zinc finger, AN1-type
SME|mk4.024409.00	ce7f7e23db1bafa99ce8c51c2d3361fe	113	Pfam	PF01754	A20-like zinc finger	3	25	1.7E-8	T	23-05-2018	IPR002653	Zinc finger, A20-type
SME|mk4.025704.00	a192661507e86ca71d75b5d399ec4c8d	218	Pfam	PF00069	Protein kinase domain	6	217	5.9E-22	T	23-05-2018	IPR000719	Protein kinase domain
SME|mk4.003809.00	6c0786ca8549cb6078c06d86d5ce14b0	293	Pfam	PF02926	THUMP domain	88	214	1.6E-4	T	23-05-2018	IPR004114	THUMP domain
SME|mk4.000753.07	21f1af0a54ca1026fd2912bfe5d60e7b	257	Pfam	PF03143	Elongation factor Tu C-terminal domain	137	240	1.9E-39	T	23-05-2018	IPR004160	Translation elongation factor EFTu/EF1A, C-terminal
SME|mk4.000753.07	21f1af0a54ca1026fd2912bfe5d60e7b	257	Pfam	PF03144	Elongation factor Tu domain 2	59	125	1.9E-14	T	23-05-2018	IPR004161	Translation elongation factor EFTu-like, domain 2
SME|mk4.091311.01	e5e8cf2f68b17dcbc274b3d7a415ca94	108	Pfam	PF17136	Ribosomal proteins 50S L24/mitochondrial 39S L24	46	107	4.8E-24	T	23-05-2018	IPR003256	Ribosomal protein L24
SME|mk4.015951.01	4c0f096058c6b19e6a2883e7830e0dd0	399	Pfam	PF00209	Sodium:neurotransmitter symporter family	3	358	8.2E-142	T	23-05-2018	IPR000175	Sodium:neurotransmitter symporter
SME|mk4.000311.06	b9748771804c9b20183e730a92e0deb2	270	Pfam	PF00069	Protein kinase domain	58	267	7.8E-22	T	23-05-2018	IPR000719	Protein kinase domain
SME|mk4.003777.00	2b8bb22f0123ae11081e7b00e921afc0	325	Pfam	PF00067	Cytochrome P450	4	322	5.3E-65	T	23-05-2018	IPR001128	Cytochrome P450
SME|mk4.000504.07	2d16a3928d0f773fba28cd70d7223f22	197	Pfam	PF01849	NAC domain	81	136	8.7E-23	T	23-05-2018	IPR002715	Nascent polypeptide-associated complex NAC domain
SME|mk4.003304.02	f53cd93954b27a047b80bdda64499d4d	77	Pfam	PF00756	Putative esterase	3	70	5.8E-16	T	23-05-2018	IPR000801	Putative esterase
SME|mk4.023977.00	872f505e2414a47449d8066c0d9dea81	277	Pfam	PF05608	Protein of unknown function (DUF778)	25	74	1.9E-22	T	23-05-2018	IPR008496	Protein of unknown function DUF778
SME|mk4.023977.00	872f505e2414a47449d8066c0d9dea81	277	Pfam	PF05608	Protein of unknown function (DUF778)	86	139	3.8E-14	T	23-05-2018	IPR008496	Protein of unknown function DUF778
SME|mk4.002038.00	9bbd3b5b617d42c37de80338f10ab4d8	429	Pfam	PF10263	SprT-like family	20	133	7.0E-30	T	23-05-2018	IPR006640	SprT-like
SME|mk4.002038.00	9bbd3b5b617d42c37de80338f10ab4d8	429	Pfam	PF02809	Ubiquitin interaction motif	376	391	0.046	T	23-05-2018	IPR003903	Ubiquitin interacting motif
SME|mk4.002038.00	9bbd3b5b617d42c37de80338f10ab4d8	429	Pfam	PF02809	Ubiquitin interaction motif	351	363	0.14	T	23-05-2018	IPR003903	Ubiquitin interacting motif
SME|mk4.007046.01	6b10f3190ac2f91231693d216e0511a3	412	Pfam	PF02020	eIF4-gamma/eIF5/eIF2-epsilon	297	371	6.1E-16	T	23-05-2018	IPR003307	W2 domain
SME|mk4.007046.01	6b10f3190ac2f91231693d216e0511a3	412	Pfam	PF01873	Domain found in IF2B/IF5	8	127	4.4E-37	T	23-05-2018	IPR002735	Translation initiation factor IF2/IF5
SME|mk4.004971.01	e761d3bac9c15b5193069b753534ac6e	441	Pfam	PF00091	Tubulin/FtsZ family, GTPase domain	6	204	1.3E-49	T	23-05-2018	IPR003008	Tubulin/FtsZ, GTPase domain
SME|mk4.004971.01	e761d3bac9c15b5193069b753534ac6e	441	Pfam	PF03953	Tubulin C-terminal domain	253	373	9.7E-31	T	23-05-2018	IPR018316	Tubulin/FtsZ, 2-layer sandwich domain
SME|mk4.003450.01	dd4813a1e1a476a21a9d08b05dd89f6c	73	Pfam	PF00012	Hsp70 protein	6	72	5.5E-19	T	23-05-2018	IPR013126	Heat shock protein 70 family
SME|mk4.041484.01	2023da0ba41fa5d96a797fa7cf791246	331	Pfam	PF02737	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain	11	188	2.6E-53	T	23-05-2018	IPR006176	3-hydroxyacyl-CoA dehydrogenase, NAD binding
SME|mk4.041484.01	2023da0ba41fa5d96a797fa7cf791246	331	Pfam	PF00725	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain	192	272	2.1E-15	T	23-05-2018	IPR006108	3-hydroxyacyl-CoA dehydrogenase, C-terminal
SME|mk4.012651.03	54f5b663d6e64291475175c9a6d66aff	336	Pfam	PF08326	Acetyl-CoA carboxylase, central region	10	336	2.8E-57	T	23-05-2018	IPR013537	Acetyl-CoA carboxylase, central domain
SME|mk4.014938.00	e505d72269f49b81f26629d7d03f0374	76	Pfam	PF00149	Calcineurin-like phosphoesterase	20	72	5.0E-6	T	23-05-2018	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type
SME|mk4.025579.00	7bb26aff9ecf8a087d45455155415f1b	258	Pfam	PF00058	Low-density lipoprotein receptor repeat class B	148	189	3.4E-11	T	23-05-2018	IPR000033	LDLR class B repeat
SME|mk4.016007.00	0d484243f543c0f76f2364c4a845d8ee	766	Pfam	PF00271	Helicase conserved C-terminal domain	325	433	1.3E-30	T	23-05-2018	IPR001650	Helicase, C-terminal
SME|mk4.016007.00	0d484243f543c0f76f2364c4a845d8ee	766	Pfam	PF00271	Helicase conserved C-terminal domain	528	636	9.0E-29	T	23-05-2018	IPR001650	Helicase, C-terminal
SME|mk4.016007.00	0d484243f543c0f76f2364c4a845d8ee	766	Pfam	PF00270	DEAD/DEAH box helicase	450	492	3.2E-8	T	23-05-2018	IPR011545	DEAD/DEAH box helicase domain
SME|mk4.016007.00	0d484243f543c0f76f2364c4a845d8ee	766	Pfam	PF00270	DEAD/DEAH box helicase	118	289	4.0E-49	T	23-05-2018	IPR011545	DEAD/DEAH box helicase domain
SME|mk4.007671.00	9333c774ff4329df2408568c9869d7bc	280	Pfam	PF14604	Variant SH3 domain	229	277	5.5E-13	T	23-05-2018	IPR001452	SH3 domain
SME|mk4.048802.00	a284208e385fbc0a2f9d49d876c0aa0e	282	Pfam	PF00091	Tubulin/FtsZ family, GTPase domain	2	89	7.5E-25	T	23-05-2018	IPR003008	Tubulin/FtsZ, GTPase domain
SME|mk4.048802.00	a284208e385fbc0a2f9d49d876c0aa0e	282	Pfam	PF03953	Tubulin C-terminal domain	139	267	6.2E-34	T	23-05-2018	IPR018316	Tubulin/FtsZ, 2-layer sandwich domain
SME|mk4.001004.00	441bd70bccea701f970f96d2275c8127	426	Pfam	PF08154	NLE (NUC135) domain	5	64	1.8E-6	T	23-05-2018	IPR012972	NLE
SME|mk4.001004.00	441bd70bccea701f970f96d2275c8127	426	Pfam	PF00400	WD domain, G-beta repeat	349	381	0.15	T	23-05-2018	IPR001680	WD40 repeat
SME|mk4.001004.00	441bd70bccea701f970f96d2275c8127	426	Pfam	PF00400	WD domain, G-beta repeat	393	423	0.005	T	23-05-2018	IPR001680	WD40 repeat
SME|mk4.001004.00	441bd70bccea701f970f96d2275c8127	426	Pfam	PF00400	WD domain, G-beta repeat	176	211	1.9E-5	T	23-05-2018	IPR001680	WD40 repeat
SME|mk4.008345.00	e0bebbe7780643eb338ac3aaeef7b3c1	157	Pfam	PF02214	BTB/POZ domain	12	99	2.0E-19	T	23-05-2018	IPR003131	Potassium channel tetramerisation-type BTB domain
SME|mk4.001586.05	57e9eaa08f82c9bbf5767d493076644a	211	Pfam	PF03134	TB2/DP1, HVA22 family	27	64	6.7E-10	T	23-05-2018	IPR004345	TB2/DP1/HVA22-related protein
SME|mk4.011009.01	a7d6eacd09fadcbea3bb1d846ccd5a43	227	Pfam	PF00609	Diacylglycerol kinase accessory domain	1	119	1.5E-32	T	23-05-2018	IPR000756	Diacylglycerol kinase, accessory domain
SME|mk4.005821.07	345881e604ae25c53bfa1cfedc5fd01d	119	Pfam	PF02809	Ubiquitin interaction motif	51	64	0.1	T	23-05-2018	IPR003903	Ubiquitin interacting motif
SME|mk4.005821.07	345881e604ae25c53bfa1cfedc5fd01d	119	Pfam	PF02809	Ubiquitin interaction motif	78	94	4.2E-4	T	23-05-2018	IPR003903	Ubiquitin interacting motif
SME|mk4.005821.07	345881e604ae25c53bfa1cfedc5fd01d	119	Pfam	PF02809	Ubiquitin interaction motif	19	32	0.37	T	23-05-2018	IPR003903	Ubiquitin interacting motif
SME|mk4.000135.12	1edf3c316b144df73791c52a071cfcab	158	Pfam	PF00071	Ras family	2	81	4.2E-9	T	23-05-2018	IPR001806	Small GTPase superfamily
SME|mk4.012478.00	06b1b3a540d66c3e75d7a6d23453ac73	380	Pfam	PF00883	Cytosol aminopeptidase family, catalytic domain	176	376	2.2E-47	T	23-05-2018	IPR000819	Peptidase M17, leucyl aminopeptidase, C-terminal
SME|mk4.023568.00	2fde9add6df11e4ccfe6c46a10d21b34	162	Pfam	PF02932	Neurotransmitter-gated ion-channel transmembrane region	41	145	2.8E-22	T	23-05-2018	IPR006029	Neurotransmitter-gated ion-channel transmembrane domain
